t,nu_0p05,nu_0p10,nu_0p15,nu_0p20,nu_0p25,nu_0p30,nu_0p40,nu_0p55,nu_0p70,nu_0p85,nu_1p00,nu_1p30,nu_1p70,nu_2p20,nu_3p00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e-01,1.005290473888312608e+00,1.005304981874944215e+00,1.005319118159988312e+00,1.005332877043959128e+00,1.005346255137211653e+00,1.005359251143410182e+00,1.005384100877773301e+00,1.005418574126391018e+00,1.005449833313370567e+00,1.005478098996812175e+00,1.005503622318764556e+00,1.005547473633176647e+00,1.005593820489379286e+00,1.005637461716464731e+00,1.005685833336974699e+00
1.000000000000000000e+00,1.067826162437071735e+00,1.067889993550049432e+00,1.067952124716094797e+00,1.068012451711235045e+00,1.068070897460065005e+00,1.068127409642483538e+00,1.068234531923025088e+00,1.068380533167137214e+00,1.068509696240550921e+00,1.068623444599736683e+00,1.068723454781550064e+00,1.068888947062391459e+00,1.069054922138497510e+00,1.069202905512975921e+00,1.069358021126323166e+00
1.250000000000000000e+00,1.164119953800240026e+00,1.164235563079645708e+00,1.164348549997193949e+00,1.164458455950685867e+00,1.164564922564365723e+00,1.164667685371859829e+00,1.164861455754975239e+00,1.165122032455145451e+00,1.165347842123578559e+00,1.165542236426851730e+00,1.165709302867909747e+00,1.165977255940324087e+00,1.166234887100575879e+00,1.166455097479785152e+00,1.166676567686920407e+00
1.500000000000000000e+00,1.273615326035632211e+00,1.273782507151895560e+00,1.273947293773129985e+00,1.274108428678279781e+00,1.274264902917623621e+00,1.274415951196658847e+00,1.274699805566201105e+00,1.275077148758505530e+00,1.275397984487747216e+00,1.275668472942169895e+00,1.275896207008944572e+00,1.276251601516532608e+00,1.276581184660388724e+00,1.276853096266280962e+00,1.277117418837697915e+00
1.750000000000000000e+00,1.387708136494924638e+00,1.387924316508667877e+00,1.388140231854702922e+00,1.388353182935740726e+00,1.388560958354434272e+00,1.388761859948326682e+00,1.389138623867659073e+00,1.389634330446222865e+00,1.390048376899169824e+00,1.390390800759459644e+00,1.390673816332601120e+00,1.391104975673118860e+00,1.391492442236492266e+00,1.391802427376365836e+00,1.392095026258186818e+00
2.000000000000000000e+00,1.502265379217286645e+00,1.502525812285369300e+00,1.502790747657257731e+00,1.503055202239314880e+00,1.503315012211246859e+00,1.503566961445708561e+00,1.504038936191161246e+00,1.504654066314438321e+00,1.505159441494803740e+00,1.505570178977780449e+00,1.505904136593709808e+00,1.506402322301600982e+00,1.506837866370689394e+00,1.507176919798003834e+00,1.507488567032652771e+00
2.250000000000000000e+00,1.615131981821636309e+00,1.615429846998795771e+00,1.615740322814590568e+00,1.616055113394597065e+00,1.616367141786319461e+00,1.616670932773716318e+00,1.617239781508981622e+00,1.617974759628491688e+00,1.618569585029947522e+00,1.619045664338105484e+00,1.619427316536145245e+00,1.619986519153920668e+00,1.620463904872588179e+00,1.620826580102068704e+00,1.621151767879793093e+00
2.500000000000000000e+00,1.725133990652442328e+00,1.725460406206529296e+00,1.725811542358972384e+00,1.726174584409003954e+00,1.726538361038007396e+00,1.726894247188599074e+00,1.727560694242801898e+00,1.728415041684685738e+00,1.729097393006351568e+00,1.729636505177932104e+00,1.730063686826834424e+00,1.730680498533083256e+00,1.731196777340589188e+00,1.731580795844975373e+00,1.731917212705553988e+00
2.750000000000000000e+00,1.831625875845815266e+00,1.831969840128500060e+00,1.832355236357403383e+00,1.832763358074461113e+00,1.833177532778797358e+00,1.833584964143326168e+00,1.834348281808392267e+00,1.835320091822904676e+00,1.836087702931818999e+00,1.836687995518086147e+00,1.837159458500950970e+00,1.837832855515823427e+00,1.838388309365059037e+00,1.838794723017073585e+00,1.839143551382662389e+00
3.000000000000000000e+00,1.934264533879027192e+00,1.934612799080534851e+00,1.935024324357839554e+00,1.935472977087993707e+00,1.935934953831055516e+00,1.936392168616186016e+00,1.937249380398320175e+00,1.938334353317701986e+00,1.939183846420591717e+00,1.939843267446445196e+00,1.940358133987339473e+00,1.941088742780987531e+00,1.941686590586559902e+00,1.942120189509565220e+00,1.942487542308637849e+00
3.250000000000000000e+00,2.032887902442890304e+00,2.033224784089570303e+00,2.033652267253361234e+00,2.034135095570444030e+00,2.034640495035525465e+00,2.035143922944488093e+00,2.036088591450922358e+00,2.037278309864490655e+00,2.038203535413364076e+00,2.038918247284025043e+00,2.039474553542464097e+00,2.040262279505673071e+00,2.040906763166451032e+00,2.041375477953965234e+00,2.041774283840190662e+00
3.500000000000000000e+00,2.127445865922901636e+00,2.127752987953926755e+00,2.128183795556003677e+00,2.128692036090350737e+00,2.129233939748761628e+00,2.129777349913970497e+00,2.130797733242553171e+00,2.132076641291611008e+00,2.133065358558752234e+00,2.133826224400853899e+00,2.134417338490939731e+00,2.135254371417966812e+00,2.135942495608700753e+00,2.136449776411754264e+00,2.136895050588315303e+00
3.750000000000000000e+00,2.217959035186913841e+00,2.218215007792849303e+00,2.218633488955330524e+00,2.219155155907157173e+00,2.219723064202443918e+00,2.220296355766747443e+00,2.221372593133383422e+00,2.222712781549812444e+00,2.223740238944971193e+00,2.224525306007567593e+00,2.225131439080303419e+00,2.225982785756418725e+00,2.226674373197644385e+00,2.227178224069039203e+00,2.227624556955643875e+00
4.000000000000000000e+00,2.304493194047927851e+00,2.304673219021819985e+00,2.305059990672645220e+00,2.305578792461173698e+00,2.306157202414626184e+00,2.306744687634657787e+00,2.307844493568962818e+00,2.309196786956712266e+00,2.310213509408481691e+00,2.310972198803089572e+00,2.311540687896631141e+00,2.312291665535624041e+00,2.312808268284572755e+00,2.313037476552011196e+00,2.312945497494946157e+00
4.250000000000000000e+00,2.387142950022587584e+00,2.387218346061037000e+00,2.387549384896410221e+00,2.388043299377333728e+00,2.388609769978935926e+00,2.389187732686252730e+00,2.390259807954124405e+00,2.391538637297241809e+00,2.392447408045983437e+00,2.393067613676574723e+00,2.393467779211306379e+00,2.393785537409255149e+00,2.393483870117651069e+00,2.392182472081287870e+00,2.388054520821367710e+00
4.500000000000000000e+00,2.466020999641711509e+00,2.465958637748810744e+00,2.466204137339669700e+00,2.466643551323032035e+00,2.467166075770895528e+00,2.467699295496281309e+00,2.468663260207962118e+00,2.469721139950184607e+00,2.470333976605946003e+00,2.470574400983700514e+00,2.470495996915863302e+00,2.469475152263209239e+00,2.466259019330457658e+00,2.458521059523304242e+00,2.434943782301131954e+00
4.750000000000000000e+00,2.541250930468928804e+00,2.541012567298663871e+00,2.541135509561778694e+00,2.541480800649909888e+00,2.541914239336610315e+00,2.542351044359840273e+00,2.543082107186841689e+00,2.543666874474672657e+00,2.543625570987128270e+00,2.542979383972418184e+00,2.541711736898271123e+00,2.537028040573694909e+00,2.524857822005435182e+00,2.496728368091230887e+00,2.429329484691106877e+00
5.000000000000000000e+00,2.612962313521616231e+00,2.612503808092956348e+00,2.612458187566847556e+00,2.612656591418653917e+00,2.612937834878866106e+00,2.613203076041856754e+00,2.613508810205822375e+00,2.613192760875100884e+00,2.611825324099249279e+00,2.609256635890272236e+00,2.605242949758356463e+00,2.591469504677013536e+00,2.557099007296254278e+00,2.491489224942425640e+00,2.393023285375628362e+00
5.250000000000000000e+00,2.681287314935792310e+00,2.680557711632002960e+00,2.680286338318245143e+00,2.680267901174154588e+00,2.680309324301302976e+00,2.680294436125915336e+00,2.679879888064270688e+00,2.677944499109029319e+00,2.674016428877944662e+00,2.667493954790516764e+00,2.657578527150463721e+00,2.624325735955380434e+00,2.552546634146606763e+00,2.456025866219334830e+00,2.353830056915835911e+00
5.500000000000000000e+00,2.746358336472296990e+00,2.745298794573604262e+00,2.744730586290016650e+00,2.744402950212838643e+00,2.744083585749079290e+00,2.743632618912295928e+00,2.742048561017285113e+00,2.737302954305308234e+00,2.728620436667421156e+00,2.714442170009539357e+00,2.693118881179881630e+00,2.627295018267698179e+00,2.518951384939426497e+00,2.413088925132575557e+00,2.317858917920589512e+00
5.750000000000000000e+00,2.808306365340661692e+00,2.806848912514328998e+00,2.805895570624589830e+00,2.805137277386602346e+00,2.804290979667071859e+00,2.803181162497964340e+00,2.799748880081300406e+00,2.790259938079371782e+00,2.773137150738042234e+00,2.745399488322813220e+00,2.705495763434092371e+00,2.601479236571178077e+00,2.474004721225562697e+00,2.371824057251026296e+00,2.285622428066973022e+00
6.000000000000000000e+00,2.867259820602660270e+00,2.865325904786893751e+00,2.863877847915002217e+00,2.862529778382406409e+00,2.860929478351304400e+00,2.858844547276342851e+00,2.852549940453661836e+00,2.835281574590265308e+00,2.804089660448755961e+00,2.755401860309047102e+00,2.691948394395214272e+00,2.558314165011740471e+00,2.428303661868346452e+00,2.334236943563714917e+00,2.256890912268502802e+00
