t,nu_0p05,nu_0p10,nu_0p15,nu_0p20,nu_0p25,nu_0p30,nu_0p40,nu_0p55,nu_0p70,nu_0p85,nu_1p00,nu_1p30,nu_1p70,nu_2p20,nu_3p00
0.000000000000000000e+00,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01
2.500000000000000000e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01
5.000000000000000000e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01
7.500000000000000000e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01
1.000000000000000000e+00,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01
1.250000000000000000e+00,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01,3.543546340629224467e-01
1.500000000000000000e+00,3.443674745626810196e-01,3.442955014467948827e-01,3.442245271370993343e-01,3.441551003856865298e-01,3.440876635099737180e-01,3.440225537116823329e-01,3.439001880928100885e-01,3.437375671892669571e-01,3.435994218257327759e-01,3.434831093086127551e-01,3.433853375585610435e-01,3.432331475148807653e-01,3.430925813947783842e-01,3.429771614712258110e-01,3.428655689868433387e-01
1.750000000000000000e+00,3.037670304017762724e-01,3.036826799823902912e-01,3.035983895313285608e-01,3.035152550524011228e-01,3.034341813721641024e-01,3.033558677422619754e-01,3.032093494739592776e-01,3.030176807405473571e-01,3.028590160914425011e-01,3.027291279296494553e-01,3.026229057588238902e-01,3.024635042239986471e-01,3.023233349191666308e-01,3.022137968225232507e-01,3.021129743703560577e-01
2.000000000000000000e+00,2.739970958433995407e-01,2.739067967556349514e-01,2.738150302432964533e-01,2.737236035960736724e-01,2.736340332444726631e-01,2.735474899864052678e-01,2.733864892849976469e-01,2.731796306536976027e-01,2.730130407630733114e-01,2.728804670057502491e-01,2.727748950916459858e-01,2.726217917414444636e-01,2.724930767059812187e-01,2.723968930513563369e-01,2.723121960367784200e-01
2.250000000000000000e+00,2.528922738902216194e-01,2.527994426843256370e-01,2.527031573040969259e-01,2.526061103756099824e-01,2.525105872556351883e-01,2.524183340390909747e-01,2.522479570079284028e-01,2.520334558540542336e-01,2.518656163480305632e-01,2.517357390682993801e-01,2.516349164725427690e-01,2.514932841815380460e-01,2.513790558142628417e-01,2.512971809795422340e-01,2.512280684843725687e-01
2.500000000000000000e+00,2.382506989709229361e-01,2.381572936778016125e-01,2.380580598096549982e-01,2.379567673512353598e-01,2.378566376929628357e-01,2.377600859696063496e-01,2.375833945850555629e-01,2.373658750056095168e-01,2.372006107354399096e-01,2.370761562937522549e-01,2.369818310742804746e-01,2.368531464125012975e-01,2.367532334964623508e-01,2.366843563660556149e-01,2.366285748422142232e-01
2.750000000000000000e+00,2.283399381479732648e-01,2.282471591382814746e-01,2.281458336451677449e-01,2.280410249588995242e-01,2.279370652706702305e-01,2.278371156035643441e-01,2.276562178013906701e-01,2.274388195557283388e-01,2.272784366655023203e-01,2.271607408705107745e-01,2.270734856277459857e-01,2.269575298908342587e-01,2.268704991996619569e-01,2.268125963837675507e-01,2.267675628059959980e-01
3.000000000000000000e+00,2.218816945690028075e-01,2.217903277348001190e-01,2.216873846500460599e-01,2.215794655686644521e-01,2.214721905609615682e-01,2.213695187377411611e-01,2.211860720359658805e-01,2.209711196071128536e-01,2.208170625078019755e-01,2.207067106197815043e-01,2.206265118222747179e-01,2.205223331498143702e-01,2.204463459699518291e-01,2.203972772776181532e-01,2.203604629717330343e-01
3.250000000000000000e+00,2.179483863818843792e-01,2.178589828944143547e-01,2.177546887934779796e-01,2.176439140826949004e-01,2.175337383004800063e-01,2.174289393663114967e-01,2.172443951031821363e-01,2.170337451022698039e-01,2.168869714823568606e-01,2.167841713105585211e-01,2.167107687018058892e-01,2.166172170560041743e-01,2.165504723600331083e-01,2.165082534893768285e-01,2.164772897295105247e-01
3.500000000000000000e+00,2.158672049533590653e-01,2.157801812293095589e-01,2.156746952887089730e-01,2.155612677019609069e-01,2.154485944046605761e-01,2.153422569560095035e-01,2.151579851644459807e-01,2.149532360322553015e-01,2.148144686031323858e-01,2.147193070490947542e-01,2.146524306132990834e-01,2.145685493939986921e-01,2.145096600601760495e-01,2.144727636675539395e-01,2.144456467367680808e-01
3.750000000000000000e+00,2.151473414524389394e-01,2.150630380897381178e-01,2.149564734903693652e-01,2.148406040439051756e-01,2.147258750778718028e-01,2.146186196365648391e-01,2.144359787988841248e-01,2.142386214535678679e-01,2.141085454271847710e-01,2.140211992325038171e-01,2.139607784227659515e-01,2.138862132037267494e-01,2.138347594982250022e-01,2.138028503345503206e-01,2.137790415597033700e-01
4.000000000000000000e+00,2.154279356607131379e-01,2.153466544120128667e-01,2.152391187895534852e-01,2.151210648029318051e-01,2.150047880698134350e-01,2.148972863367142605e-01,2.147176674243616856e-01,2.145292069737781970e-01,2.144086386588539006e-01,2.143295668782594920e-01,2.142759432427890354e-01,2.142114499882100953e-01,2.141689031835468104e-01,2.141444665522451996e-01,2.141284442847434244e-01
