t,nu_0p05,nu_0p10,nu_0p15,nu_0p20,nu_0p25,nu_0p30,nu_0p40,nu_0p55,nu_0p70,nu_0p85,nu_1p00,nu_1p30,nu_1p70,nu_2p20,nu_3p00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,1.853134661604458611e-01,1.855591584756874635e-01,1.857983400638225369e-01,1.860309251185429391e-01,1.862568670592279485e-01,1.864761547877413217e-01,1.868948782317147173e-01,1.874744117302893365e-01,1.879984222328523469e-01,1.884708913329416202e-01,1.888962885199901298e-01,1.896240490651219801e-01,1.903881922338979960e-01,1.911019595771829560e-01,1.918850199617597174e-01
1.000000000000000000e+00,5.177563990193878585e-01,5.179793550905946731e-01,5.181967066252506360e-01,5.184080135020344704e-01,5.186129337229726799e-01,5.188112168447258643e-01,5.191872792572841400e-01,5.196996645235983925e-01,5.201519800193084020e-01,5.205487969213951072e-01,5.208959079294604999e-01,5.214650070074614563e-01,5.220263622535502579e-01,5.225157456504875286e-01,5.230136562407449174e-01
1.250000000000000000e+00,6.751959955279751568e-01,6.754114351289287610e-01,6.756225154494353013e-01,6.758282271935898144e-01,6.760277523363940055e-01,6.762204593891049109e-01,6.765837487609167589e-01,6.770708229063273631e-01,6.774898807288931568e-01,6.778469569586268451e-01,6.781500665660941118e-01,6.786264151525279731e-01,6.790692016098356376e-01,6.794320117131972259e-01,6.797783645775331562e-01
1.500000000000000000e+00,7.626334334642708157e-01,7.628473457671088864e-01,7.630586905717365864e-01,7.632656280967257123e-01,7.634666413718926847e-01,7.636605473943204325e-01,7.640238792393779788e-01,7.645026178066673950e-01,7.649033087731691438e-01,7.652345775411818485e-01,7.655074804481588613e-01,7.659194047531830973e-01,7.662820862401823474e-01,7.665635362675925490e-01,7.668181859311981041e-01
1.750000000000000000e+00,8.164970636440382901e-01,8.167116876440391193e-01,8.169262348932423423e-01,8.171377243361828135e-01,8.173436710873960287e-01,8.175421424194264652e-01,8.179115933616964984e-01,8.183893163720182828e-01,8.187778101841561851e-01,8.190894626588606231e-01,8.193389341828566375e-01,8.197017747488651862e-01,8.200061343003505199e-01,8.202314088647766344e-01,8.204261273990912651e-01
2.000000000000000000e+00,8.521883339209795905e-01,8.524041217506972412e-01,8.526231384371976141e-01,8.528408997643396328e-01,8.530536370521587530e-01,8.532584475795806922e-01,8.536369293137394676e-01,8.541166013543164404e-01,8.544954752793535446e-01,8.547907225919906260e-01,8.550208486983267298e-01,8.553446077530704184e-01,8.556048592637108818e-01,8.557896925353191131e-01,8.559432084977632860e-01
2.250000000000000000e+00,8.771524015197371682e-01,8.773688429833870206e-01,8.775927227661955987e-01,8.778176392297853958e-01,8.780381789500388834e-01,8.782502366964305418e-01,8.786389470653946931e-01,8.791213850996496548e-01,8.794917088281346551e-01,8.797726041111255668e-01,8.799863620197844183e-01,8.802784882968425206e-01,8.805048258896771562e-01,8.806598922529644824e-01,8.807841554989567223e-01
2.500000000000000000e+00,8.953563112111739830e-01,8.955723136351912972e-01,8.958009346648683202e-01,8.960333875440137374e-01,8.962622131301627437e-01,8.964818723300556069e-01,8.968809498558605320e-01,8.973658543104714447e-01,8.977281009838551373e-01,8.979962672549443026e-01,8.981961370722478799e-01,8.984626776931892156e-01,8.986629277901461155e-01,8.987959637794559198e-01,8.988991907304211271e-01
2.750000000000000000e+00,9.090765752724779825e-01,9.092906450680616759e-01,9.095235312710898690e-01,9.097635403570041301e-01,9.100007352199478428e-01,9.102279285585582747e-01,9.106367608041483486e-01,9.111232060394904853e-01,9.114776240460662482e-01,9.117345135458154726e-01,9.119227024789100522e-01,9.121688242692842508e-01,9.123493494666604642e-01,9.124663795638684460e-01,9.125546770929132689e-01
3.000000000000000000e+00,9.196982583403461309e-01,9.199085844170445947e-01,9.201449680767658235e-01,9.203922339590325796e-01,9.206375160412142433e-01,9.208717979641583007e-01,9.212891494780833801e-01,9.217757662254587592e-01,9.221224537194518955e-01,9.223693670062511618e-01,9.225478413570267211e-01,9.227780296786094461e-01,9.229442217101507806e-01,9.230503076586275002e-01,9.231288178010340628e-01
3.250000000000000000e+00,9.281049061205388639e-01,9.283093899974185215e-01,9.285482185928971566e-01,9.288021082732174083e-01,9.290548102289396537e-01,9.292953466606473922e-01,9.297193631974213224e-01,9.302042911175761875e-01,9.305430507577157062e-01,9.307809700762892380e-01,9.309513225591833363e-01,9.311692722226869723e-01,9.313256703785447455e-01,9.314252801986611097e-01,9.314989564366632502e-01
3.500000000000000000e+00,9.348826288324719735e-01,9.350788829496462506e-01,9.353187900635699936e-01,9.355782841910956771e-01,9.358372946455827401e-01,9.360828096518999386e-01,9.365109074184639892e-01,9.369915219049560484e-01,9.373214786153585276e-01,9.375506592427514940e-01,9.377137188158025660e-01,9.379216549563668126e-01,9.380712498440425540e-01,9.381677268295494088e-01,9.382412560698358828e-01
3.750000000000000000e+00,9.404332263053336582e-01,9.406185512826730211e-01,9.408578006133586635e-01,9.411214093422379801e-01,9.413850781624363284e-01,9.416337547079037806e-01,9.420623756000749971e-01,9.425347335787918057e-01,9.428536031051607536e-01,9.430727362334804242e-01,9.432276576244316146e-01,9.434243357720445422e-01,9.435656036722313011e-01,9.436572171212982418e-01,9.437293404885225279e-01
4.000000000000000000e+00,9.450399735504599885e-01,9.452113198042703113e-01,9.454477258140225882e-01,9.457133739496957903e-01,9.459793767097407491e-01,9.462286998624342971e-01,9.466528913317282523e-01,9.471107746096275593e-01,9.474135438123671982e-01,9.476180941224294774e-01,9.477603378298797843e-01,9.479358153303151235e-01,9.480529646013277079e-01,9.481158150039891153e-01,9.481411169737579137e-01
